section_crn,subject,number,section,info,time,times_summary,locations_summary,times_long_summary,times_by_day
24839,AFAM,140D,01,Discussion Section,Th 4.00-4.50 WALL81 101,Th 4:00pm-4:50pm,WALL81 101,Th 4:00pm-4:50pm in WALL81 101,"{'Thursday': ('16:00', '16:50', 'WALL81 101')}"
24844,AFAM,140D,02,Discussion Section,Th 4.00-4.50,Th 4:00pm-4:50pm,,Th 4:00pm-4:50pm,"{'Thursday': ('16:00', '16:50', '')}"
24849,AFAM,140D,03,Discussion Section,M 1.30-2.20 BASSLB L73,M 1:30pm-2:20pm,BASSLB L73,M 1:30pm-2:20pm in BASSLB L73,"{'Monday': ('13:30', '14:20', 'BASSLB L73')}"
24854,AFAM,140D,04,Discussion Section,Th 3.30-4.20 CO493 106,Th 3:30pm-4:20pm,CO493 106,Th 3:30pm-4:20pm in CO493 106,"{'Thursday': ('15:30', '16:20', 'CO493 106')}"
25726,AFAM,140D,05,Discussion Section,W 1.30-2.20 YK220 002,W 1:30pm-2:20pm,YK220 002,W 1:30pm-2:20pm in YK220 002,"{'Wednesday': ('13:30', '14:20', 'YK220 002')}"
25731,AFAM,140D,06,Discussion Section,Th 5.00-5.50 WLH 002,Th 5:00pm-5:50pm,WLH 002,Th 5:00pm-5:50pm in WLH 002,"{'Thursday': ('17:00', '17:50', 'WLH 002')}"
25736,AFAM,140D,07,Discussion Section,Th 1.30-2.20 WALL81 401,Th 1:30pm-2:20pm,WALL81 401,Th 1:30pm-2:20pm in WALL81 401,"{'Thursday': ('13:30', '14:20', 'WALL81 401')}"
25741,AFAM,140D,08,Discussion Section,F 10.30-11.20 BM 013,F 10:30am-11:20am,BM 013,F 10:30am-11:20am in BM 013,"{'Friday': ('10:30', '11:20', 'BM 013')}"
25711,AFAM,140D,09,Discussion Section,W 5.00-5.50,W 5:00pm-5:50pm,,W 5:00pm-5:50pm,"{'Wednesday': ('17:00', '17:50', '')}"
25716,AFAM,140D,10,Discussion Section,W 4.00-4.50 WALL81 401,W 4:00pm-4:50pm,WALL81 401,W 4:00pm-4:50pm in WALL81 401,"{'Wednesday': ('16:00', '16:50', 'WALL81 401')}"
25746,AFAM,140D,11,Discussion Section,M 5.00-5.50 BASSLB L73,M 5:00pm-5:50pm,BASSLB L73,M 5:00pm-5:50pm in BASSLB L73,"{'Monday': ('17:00', '17:50', 'BASSLB L73')}"
25721,AFAM,140D,12,Discussion Section,F 10.30-11.20,F 10:30am-11:20am,,F 10:30am-11:20am,"{'Friday': ('10:30', '11:20', '')}"
25799,AFAM,140D,13,Discussion Section,T 10.30-11.20 BM 013,T 10:30am-11:20am,BM 013,T 10:30am-11:20am in BM 013,"{'Tuesday': ('10:30', '11:20', 'BM 013')}"
25804,AFAM,140D,14,Discussion Section,Th 5.00-5.50 BASSLB L70,Th 5:00pm-5:50pm,BASSLB L70,Th 5:00pm-5:50pm in BASSLB L70,"{'Thursday': ('17:00', '17:50', 'BASSLB L70')}"
25825,AFAM,140D,15,Discussion Section,Th 7.00-7.50p DL 102,Th 7:00pm-7:50pm,DL 102,Th 7:00pm-7:50pm in DL 102,"{'Thursday': ('19:00', '19:50', 'DL 102')}"
25859,AFAM,140D,16,Discussion Section,T 1.30-2.20 YK220 001,T 1:30pm-2:20pm,YK220 001,T 1:30pm-2:20pm in YK220 001,"{'Tuesday': ('13:30', '14:20', 'YK220 001')}"
25844,AFAM,140D,17,Discussion Section,,,,,{}
25849,AFAM,140D,18,Discussion Section,,,,,{}
25854,AFAM,140D,19,Discussion Section,,,,,{}
24683,AFAM,172D,01,Discussion Section,W 10.30-11.20 DL 102,W 10:30am-11:20am,DL 102,W 10:30am-11:20am in DL 102,"{'Wednesday': ('10:30', '11:20', 'DL 102')}"
24685,AFAM,172D,02,Discussion Section,W 11.35-12.25 DL 102,W 11:35am-12:25am,DL 102,W 11:35am-12:25am in DL 102,"{'Wednesday': ('11:35', '12:25', 'DL 102')}"
24687,AFAM,172D,03,Discussion Section,W 3.30-4.20 BASSLB L70,W 3:30pm-4:20pm,BASSLB L70,W 3:30pm-4:20pm in BASSLB L70,"{'Wednesday': ('15:30', '16:20', 'BASSLB L70')}"
24689,AFAM,172D,04,Discussion Section,W 4.30-5.20 BASSLB L70,W 4:30pm-5:20pm,BASSLB L70,W 4:30pm-5:20pm in BASSLB L70,"{'Wednesday': ('16:30', '17:20', 'BASSLB L70')}"
24691,AFAM,172D,05,Discussion Section,Th 1.30-2.20 YK212 004,Th 1:30pm-2:20pm,YK212 004,Th 1:30pm-2:20pm in YK212 004,"{'Thursday': ('13:30', '14:20', 'YK212 004')}"
24693,AFAM,172D,06,Discussion Section,Th 2.30-3.20 YK212 004,Th 2:30pm-3:20pm,YK212 004,Th 2:30pm-3:20pm in YK212 004,"{'Thursday': ('14:30', '15:20', 'YK212 004')}"
24695,AFAM,172D,07,Discussion Section,Th 3.30-4.20 WALL81 301,Th 3:30pm-4:20pm,WALL81 301,Th 3:30pm-4:20pm in WALL81 301,"{'Thursday': ('15:30', '16:20', 'WALL81 301')}"
24697,AFAM,172D,08,Discussion Section,Th 4.30-5.20 WALL81 301,Th 4:30pm-5:20pm,WALL81 301,Th 4:30pm-5:20pm in WALL81 301,"{'Thursday': ('16:30', '17:20', 'WALL81 301')}"
24699,AFAM,172D,09,Discussion Section,Th 4.00-4.50 WALL81 401,Th 4:00pm-4:50pm,WALL81 401,Th 4:00pm-4:50pm in WALL81 401,"{'Thursday': ('16:00', '16:50', 'WALL81 401')}"
24701,AFAM,172D,10,Discussion Section,Th 5.00-5.50 WALL81 401,Th 5:00pm-5:50pm,WALL81 401,Th 5:00pm-5:50pm in WALL81 401,"{'Thursday': ('17:00', '17:50', 'WALL81 401')}"
24703,AFAM,172D,11,Discussion Section,Th 7.00-7.50p BASSLB L70,Th 7:00pm-7:50pm,BASSLB L70,Th 7:00pm-7:50pm in BASSLB L70,"{'Thursday': ('19:00', '19:50', 'BASSLB L70')}"
24705,AFAM,172D,12,Discussion Section,Th 8.00-8.50p BASSLB L70,Th 8:00pm-8:50pm,BASSLB L70,Th 8:00pm-8:50pm in BASSLB L70,"{'Thursday': ('20:00', '20:50', 'BASSLB L70')}"
24707,AFAM,172D,13,Discussion Section,F 10.30-11.20 AKW 100,F 10:30am-11:20am,AKW 100,F 10:30am-11:20am in AKW 100,"{'Friday': ('10:30', '11:20', 'AKW 100')}"
24709,AFAM,172D,14,Discussion Section,F 11.35-12.25 AKW 100,F 11:35am-12:25am,AKW 100,F 11:35am-12:25am in AKW 100,"{'Friday': ('11:35', '12:25', 'AKW 100')}"
25214,AFAM,194D,01,Discussion Section,W 4.00-4.50,W 4:00pm-4:50pm,,W 4:00pm-4:50pm,"{'Wednesday': ('16:00', '16:50', '')}"
25217,AFAM,194D,02,Discussion Section,W 7.00-7.50p,W 7:00pm-7:50pm,,W 7:00pm-7:50pm,"{'Wednesday': ('19:00', '19:50', '')}"
25831,AFAM,194D,03,Discussion Section,W 4.00-4.50 HGS 220B,W 4:00pm-4:50pm,HGS 220B,W 4:00pm-4:50pm in HGS 220B,"{'Wednesday': ('16:00', '16:50', 'HGS 220B')}"
25834,AFAM,194D,04,Discussion Section,W 7.00-7.50p LORIA 360,W 7:00pm-7:50pm,LORIA 360,W 7:00pm-7:50pm in LORIA 360,"{'Wednesday': ('19:00', '19:50', 'LORIA 360')}"
24802,AFST,335D,01,Discussion Section,W 7.00-7.50p WLH 210,W 7:00pm-7:50pm,WLH 210,W 7:00pm-7:50pm in WLH 210,"{'Wednesday': ('19:00', '19:50', 'WLH 210')}"
24804,AFST,335D,02,Discussion Section,Th 1.30-2.20 WLH 210,Th 1:30pm-2:20pm,WLH 210,Th 1:30pm-2:20pm in WLH 210,"{'Thursday': ('13:30', '14:20', 'WLH 210')}"
25609,AFST,335D,03,Discussion Section,W 3.30-4.20 WLH 202,W 3:30pm-4:20pm,WLH 202,W 3:30pm-4:20pm in WLH 202,"{'Wednesday': ('15:30', '16:20', 'WLH 202')}"
