section_crn,subject,number,section,info,time,times_summary,locations_summary,times_long_summary,times_by_day
14907,AFAM,160D,01,Discussion Section,T 4.00-4.50 WALL81 101,T 4:00pm-4:50pm,WALL81 101,T 4:00pm-4:50pm in WALL81 101,"{'Tuesday': ('16:00', '16:50', 'WALL81 101')}"
14911,AFAM,160D,02,Discussion Section,,,,,{}
14915,AFAM,160D,03,Discussion Section,W 3.30-4.20 WLH 112,W 3:30pm-4:20pm,WLH 112,W 3:30pm-4:20pm in WLH 112,"{'Wednesday': ('15:30', '16:20', 'WLH 112')}"
14919,AFAM,160D,04,Discussion Section,Th 7.00-7.50p WLH 001,Th 7:00pm-7:50pm,WLH 001,Th 7:00pm-7:50pm in WLH 001,"{'Thursday': ('19:00', '19:50', 'WLH 001')}"
15989,AFAM,160D,05,Discussion Section,T 3.30-4.20,T 3:30pm-4:20pm,,T 3:30pm-4:20pm,"{'Tuesday': ('15:30', '16:20', '')}"
14923,AFAM,170D,01,Discussion Section,T 3.30-4.20 WLH 113,T 3:30pm-4:20pm,WLH 113,T 3:30pm-4:20pm in WLH 113,"{'Tuesday': ('15:30', '16:20', 'WLH 113')}"
14927,AFAM,170D,02,Discussion Section,T 4.30-5.20 WLH 113,T 4:30pm-5:20pm,WLH 113,T 4:30pm-5:20pm in WLH 113,"{'Tuesday': ('16:30', '17:20', 'WLH 113')}"
14931,AFAM,170D,03,Discussion Section,W 7.00-7.50p LC 203,W 7:00pm-7:50pm,LC 203,W 7:00pm-7:50pm in LC 203,"{'Wednesday': ('19:00', '19:50', 'LC 203')}"
14935,AFAM,170D,04,Discussion Section,W 8.00-8.50p LC 203,W 8:00pm-8:50pm,LC 203,W 8:00pm-8:50pm in LC 203,"{'Wednesday': ('20:00', '20:50', 'LC 203')}"
14939,AFAM,170D,05,Discussion Section,Th 3.30-4.20 PH 310,Th 3:30pm-4:20pm,PH 310,Th 3:30pm-4:20pm in PH 310,"{'Thursday': ('15:30', '16:20', 'PH 310')}"
14943,AFAM,170D,06,Discussion Section,Th 4.30-5.20 PH 310,Th 4:30pm-5:20pm,PH 310,Th 4:30pm-5:20pm in PH 310,"{'Thursday': ('16:30', '17:20', 'PH 310')}"
14947,AFAM,170D,07,Discussion Section,Th 2.30-3.20 WLH 203,Th 2:30pm-3:20pm,WLH 203,Th 2:30pm-3:20pm in WLH 203,"{'Thursday': ('14:30', '15:20', 'WLH 203')}"
14951,AFAM,170D,08,Discussion Section,F 9.25-10.15 LC 104,F 9:25am-10:15am,LC 104,F 9:25am-10:15am in LC 104,"{'Friday': ('9:25', '10:15', 'LC 104')}"
15714,AFAM,170D,09,Discussion Section,T 3.30-4.20 LC 104,T 3:30pm-4:20pm,LC 104,T 3:30pm-4:20pm in LC 104,"{'Tuesday': ('15:30', '16:20', 'LC 104')}"
15718,AFAM,170D,10,Discussion Section,T 4.30-5.20 LC 104,T 4:30pm-5:20pm,LC 104,T 4:30pm-5:20pm in LC 104,"{'Tuesday': ('16:30', '17:20', 'LC 104')}"
15722,AFAM,170D,11,Discussion Section,W 7.00-7.50p,W 7:00pm-7:50pm,,W 7:00pm-7:50pm,"{'Wednesday': ('19:00', '19:50', '')}"
15726,AFAM,170D,12,Discussion Section,W 8.00-8.50p,W 8:00pm-8:50pm,,W 8:00pm-8:50pm,"{'Wednesday': ('20:00', '20:50', '')}"
15735,AFAM,170D,13,Discussion Section,Th 2.30-3.20,Th 2:30pm-3:20pm,,Th 2:30pm-3:20pm,"{'Thursday': ('14:30', '15:20', '')}"
15739,AFAM,170D,14,Discussion Section,Th 3.30-4.20,Th 3:30pm-4:20pm,,Th 3:30pm-4:20pm,"{'Thursday': ('15:30', '16:20', '')}"
15845,AFAM,170D,15,Discussion Section,F 9.25-10.15,F 9:25am-10:15am,,F 9:25am-10:15am,"{'Friday': ('9:25', '10:15', '')}"
15849,AFAM,170D,16,Discussion Section,Th 4.30-5.20,Th 4:30pm-5:20pm,,Th 4:30pm-5:20pm,"{'Thursday': ('16:30', '17:20', '')}"
15853,AFAM,170D,17,Discussion Section,W 7.00-7.50p,W 7:00pm-7:50pm,,W 7:00pm-7:50pm,"{'Wednesday': ('19:00', '19:50', '')}"
15883,AFAM,170D,18,Discussion Section,Th 4.30-5.20,Th 4:30pm-5:20pm,,Th 4:30pm-5:20pm,"{'Thursday': ('16:30', '17:20', '')}"
15887,AFAM,170D,19,Discussion Section,Th 2.30-3.20,Th 2:30pm-3:20pm,,Th 2:30pm-3:20pm,"{'Thursday': ('14:30', '15:20', '')}"
15891,AFAM,170D,20,Discussion Section,Th 3.30-4.20,Th 3:30pm-4:20pm,,Th 3:30pm-4:20pm,"{'Thursday': ('15:30', '16:20', '')}"
15895,AFAM,170D,21,Discussion Section,T 7.00-7.50p,T 7:00pm-7:50pm,,T 7:00pm-7:50pm,"{'Tuesday': ('19:00', '19:50', '')}"
15899,AFAM,170D,22,Discussion Section,W 8.00-8.50p,W 8:00pm-8:50pm,,W 8:00pm-8:50pm,"{'Wednesday': ('20:00', '20:50', '')}"
15775,AFAM,183D,01,Discussion Section,Th 4.30-5.20,Th 4:30pm-5:20pm,,Th 4:30pm-5:20pm,"{'Thursday': ('16:30', '17:20', '')}"
15777,AFAM,183D,02,Discussion Section,,,,,{}
14797,AFAM,192D,01,Discussion Section,,,,,{}
14801,AFAM,192D,02,Discussion Section,Th 3.30-4.20 WALL81 301,Th 3:30pm-4:20pm,WALL81 301,Th 3:30pm-4:20pm in WALL81 301,"{'Thursday': ('15:30', '16:20', 'WALL81 301')}"
14805,AFAM,192D,03,Discussion Section,,,,,{}
14809,AFAM,192D,04,Discussion Section,,,,,{}
14813,AFAM,192D,05,Discussion Section,,,,,{}
14817,AFAM,192D,06,Discussion Section,,,,,{}
15819,AFAM,192D,07,Discussion Section,Th 4.30-5.20 YK220 003,Th 4:30pm-5:20pm,YK220 003,Th 4:30pm-5:20pm in YK220 003,"{'Thursday': ('16:30', '17:20', 'YK220 003')}"
15823,AFAM,192D,08,Discussion Section,Th 2.30-3.20 YK220 001,Th 2:30pm-3:20pm,YK220 001,Th 2:30pm-3:20pm in YK220 001,"{'Thursday': ('14:30', '15:20', 'YK220 001')}"
15827,AFAM,192D,09,Discussion Section,Th 4.00-4.50 YK220 002,Th 4:00pm-4:50pm,YK220 002,Th 4:00pm-4:50pm in YK220 002,"{'Thursday': ('16:00', '16:50', 'YK220 002')}"
15831,AFAM,192D,10,Discussion Section,Th 7.00-7.50p YK220 002,Th 7:00pm-7:50pm,YK220 002,Th 7:00pm-7:50pm in YK220 002,"{'Thursday': ('19:00', '19:50', 'YK220 002')}"
15835,AFAM,192D,11,Discussion Section,Th 8.00-8.50p YK220 002,Th 8:00pm-8:50pm,YK220 002,Th 8:00pm-8:50pm in YK220 002,"{'Thursday': ('20:00', '20:50', 'YK220 002')}"
14978,AFAM,231D,01,Discussion Section,,,,,{}
14981,AFAM,231D,02,Discussion Section,,,,,{}
14908,AFST,184D,01,Discussion Section,T 4.00-4.50 WALL81 101,T 4:00pm-4:50pm,WALL81 101,T 4:00pm-4:50pm in WALL81 101,"{'Tuesday': ('16:00', '16:50', 'WALL81 101')}"
14912,AFST,184D,02,Discussion Section,,,,,{}
14916,AFST,184D,03,Discussion Section,W 3.30-4.20 WLH 112,W 3:30pm-4:20pm,WLH 112,W 3:30pm-4:20pm in WLH 112,"{'Wednesday': ('15:30', '16:20', 'WLH 112')}"
14920,AFST,184D,04,Discussion Section,Th 7.00-7.50p WLH 001,Th 7:00pm-7:50pm,WLH 001,Th 7:00pm-7:50pm in WLH 001,"{'Thursday': ('19:00', '19:50', 'WLH 001')}"
15990,AFST,184D,05,Discussion Section,T 3.30-4.20,T 3:30pm-4:20pm,,T 3:30pm-4:20pm,"{'Tuesday': ('15:30', '16:20', '')}"
15881,AFST,231D,01,Discussion Section,,,,,{}
15882,AFST,231D,02,Discussion Section,,,,,{}
14798,AFST,238D,01,Discussion Section,,,,,{}
14802,AFST,238D,02,Discussion Section,Th 3.30-4.20 WALL81 301,Th 3:30pm-4:20pm,WALL81 301,Th 3:30pm-4:20pm in WALL81 301,"{'Thursday': ('15:30', '16:20', 'WALL81 301')}"
14806,AFST,238D,03,Discussion Section,,,,,{}
14810,AFST,238D,04,Discussion Section,,,,,{}
14814,AFST,238D,05,Discussion Section,,,,,{}
14818,AFST,238D,06,Discussion Section,,,,,{}
15820,AFST,238D,07,Discussion Section,Th 4.30-5.20 YK220 003,Th 4:30pm-5:20pm,YK220 003,Th 4:30pm-5:20pm in YK220 003,"{'Thursday': ('16:30', '17:20', 'YK220 003')}"
15824,AFST,238D,08,Discussion Section,Th 2.30-3.20 YK220 001,Th 2:30pm-3:20pm,YK220 001,Th 2:30pm-3:20pm in YK220 001,"{'Thursday': ('14:30', '15:20', 'YK220 001')}"
15828,AFST,238D,09,Discussion Section,Th 4.00-4.50 YK220 002,Th 4:00pm-4:50pm,YK220 002,Th 4:00pm-4:50pm in YK220 002,"{'Thursday': ('16:00', '16:50', 'YK220 002')}"
15832,AFST,238D,10,Discussion Section,Th 7.00-7.50p YK220 002,Th 7:00pm-7:50pm,YK220 002,Th 7:00pm-7:50pm in YK220 002,"{'Thursday': ('19:00', '19:50', 'YK220 002')}"
15836,AFST,238D,11,Discussion Section,Th 8.00-8.50p YK220 002,Th 8:00pm-8:50pm,YK220 002,Th 8:00pm-8:50pm in YK220 002,"{'Thursday': ('20:00', '20:50', 'YK220 002')}"
14552,AFST,333D,01,Discussion Section,,,,,{}
14554,AFST,333D,02,Discussion Section,,,,,{}
14556,AFST,333D,03,Discussion Section,W 7.00-7.50p WLH 011,W 7:00pm-7:50pm,WLH 011,W 7:00pm-7:50pm in WLH 011,"{'Wednesday': ('19:00', '19:50', 'WLH 011')}"
14558,AFST,333D,04,Discussion Section,,,,,{}
14560,AFST,333D,05,Discussion Section,,,,,{}
14562,AFST,333D,06,Discussion Section,Th 7.00-7.50p WLH 003,Th 7:00pm-7:50pm,WLH 003,Th 7:00pm-7:50pm in WLH 003,"{'Thursday': ('19:00', '19:50', 'WLH 003')}"
15347,AFST,333D,07,Discussion Section,,,,,{}
15349,AFST,333D,08,Discussion Section,Th 2.30-3.20 WLH 003,Th 2:30pm-3:20pm,WLH 003,Th 2:30pm-3:20pm in WLH 003,"{'Thursday': ('14:30', '15:20', 'WLH 003')}"
15402,AFST,333D,09,Discussion Section,W 3.30-4.20 WTS A68,W 3:30pm-4:20pm,WTS A68,W 3:30pm-4:20pm in WTS A68,"{'Wednesday': ('15:30', '16:20', 'WTS A68')}"
15404,AFST,333D,10,Discussion Section,,,,,{}
15839,AFST,333D,11,Discussion Section,W 7.00-7.50p LC 213,W 7:00pm-7:50pm,LC 213,W 7:00pm-7:50pm in LC 213,"{'Wednesday': ('19:00', '19:50', 'LC 213')}"
14564,AMST,116D,01,Discussion Section,W 2.30-3.20 CO493 106,W 2:30pm-3:20pm,CO493 106,W 2:30pm-3:20pm in CO493 106,"{'Wednesday': ('14:30', '15:20', 'CO493 106')}"
14566,AMST,116D,02,Discussion Section,W 4.00-4.50 CO493 106,W 4:00pm-4:50pm,CO493 106,W 4:00pm-4:50pm in CO493 106,"{'Wednesday': ('16:00', '16:50', 'CO493 106')}"
14568,AMST,116D,03,Discussion Section,Th 9.25-10.15 YK220 002,Th 9:25am-10:15am,YK220 002,Th 9:25am-10:15am in YK220 002,"{'Thursday': ('9:25', '10:15', 'YK220 002')}"
14570,AMST,116D,04,Discussion Section,F 10.30-11.20 TD D23,F 10:30am-11:20am,TD D23,F 10:30am-11:20am in TD D23,"{'Friday': ('10:30', '11:20', 'TD D23')}"
14507,AMST,141D,01,Discussion Section,M 4.30-5.20 WLH 002,M 4:30pm-5:20pm,WLH 002,M 4:30pm-5:20pm in WLH 002,"{'Monday': ('16:30', '17:20', 'WLH 002')}"
