section_crn,subject,number,section,info,time,times_summary,locations_summary,times_long_summary,times_by_day
21758,AFAM,162D,01,Discussion Section,,,,,{}
21761,AFAM,162D,02,Discussion Section,,,,,{}
21764,AFAM,162D,03,Discussion Section,,,,,{}
21767,AFAM,162D,04,Discussion Section,,,,,{}
21770,AFAM,162D,05,Discussion Section,,,,,{}
21716,AFAM,162D,06,Discussion Section,,,,,{}
21719,AFAM,162D,07,Discussion Section,,,,,{}
21722,AFAM,162D,08,Discussion Section,,,,,{}
21725,AFAM,162D,09,Discussion Section,,,,,{}
21728,AFAM,162D,10,Discussion Section,,,,,{}
21731,AFAM,162D,11,Discussion Section,,,,,{}
21734,AFAM,162D,12,Discussion Section,,,,,{}
21737,AFAM,162D,13,Discussion Section,,,,,{}
21740,AFAM,162D,14,Discussion Section,,,,,{}
21743,AFAM,162D,15,Discussion Section,,,,,{}
21746,AFAM,162D,16,Discussion Section,T 3.30-4.20 WALL81 301,T 3:30pm-4:20pm,WALL81 301,T 3:30pm-4:20pm in WALL81 301,"{'Tuesday': ('15:30', '16:20', 'WALL81 301')}"
21749,AFAM,162D,17,Discussion Section,W 11.35-12.25 BASSLB L73,W 11:35am-12:25am,BASSLB L73,W 11:35am-12:25am in BASSLB L73,"{'Wednesday': ('11:35', '12:25', 'BASSLB L73')}"
21752,AFAM,162D,18,Discussion Section,Th 2.30-3.20 WHC B-03,Th 2:30pm-3:20pm,WHC B-03,Th 2:30pm-3:20pm in WHC B-03,"{'Thursday': ('14:30', '15:20', 'WHC B-03')}"
21755,AFAM,162D,19,Discussion Section,Th 4.00-4.50 CO493 103,Th 4:00pm-4:50pm,CO493 103,Th 4:00pm-4:50pm in CO493 103,"{'Thursday': ('16:00', '16:50', 'CO493 103')}"
22512,AFAM,164D,01,Discussion Section,M 4.00-4.50 BASSLB L70,M 4:00pm-4:50pm,BASSLB L70,M 4:00pm-4:50pm in BASSLB L70,"{'Monday': ('16:00', '16:50', 'BASSLB L70')}"
22515,AFAM,164D,02,Discussion Section,W 4.00-4.50 RKZ 06,W 4:00pm-4:50pm,RKZ 06,W 4:00pm-4:50pm in RKZ 06,"{'Wednesday': ('16:00', '16:50', 'RKZ 06')}"
22518,AFAM,164D,03,Discussion Section,Th 3.30-4.20 WTS B51,Th 3:30pm-4:20pm,WTS B51,Th 3:30pm-4:20pm in WTS B51,"{'Thursday': ('15:30', '16:20', 'WTS B51')}"
22521,AFAM,164D,04,Discussion Section,Th 7.00-7.50p LC 103,Th 7:00pm-7:50pm,LC 103,Th 7:00pm-7:50pm in LC 103,"{'Thursday': ('19:00', '19:50', 'LC 103')}"
22524,AFAM,164D,05,Discussion Section,W 4.00-4.50 WHC B-02,W 4:00pm-4:50pm,WHC B-02,W 4:00pm-4:50pm in WHC B-02,"{'Wednesday': ('16:00', '16:50', 'WHC B-02')}"
22527,AFAM,164D,06,Discussion Section,Th 5.00-5.50 YK220 002,Th 5:00pm-5:50pm,YK220 002,Th 5:00pm-5:50pm in YK220 002,"{'Thursday': ('17:00', '17:50', 'YK220 002')}"
22807,AFAM,164D,07,Discussion Section,M 4.00-4.50 BASSLB L73,M 4:00pm-4:50pm,BASSLB L73,M 4:00pm-4:50pm in BASSLB L73,"{'Monday': ('16:00', '16:50', 'BASSLB L73')}"
22830,AFAM,164D,08,Discussion Section,W 1.30-2.20 LC 318,W 1:30pm-2:20pm,LC 318,W 1:30pm-2:20pm in LC 318,"{'Wednesday': ('13:30', '14:20', 'LC 318')}"
22066,AFAM,172D,01,Discussion Section,,,,,{}
22068,AFAM,172D,02,Discussion Section,W 2.30-3.20 LC 211,W 2:30pm-3:20pm,LC 211,W 2:30pm-3:20pm in LC 211,"{'Wednesday': ('14:30', '15:20', 'LC 211')}"
22070,AFAM,172D,03,Discussion Section,W 3.30-4.20 LC 211,W 3:30pm-4:20pm,LC 211,W 3:30pm-4:20pm in LC 211,"{'Wednesday': ('15:30', '16:20', 'LC 211')}"
22072,AFAM,172D,04,Discussion Section,Th 2.30-3.20 WTS B31,Th 2:30pm-3:20pm,WTS B31,Th 2:30pm-3:20pm in WTS B31,"{'Thursday': ('14:30', '15:20', 'WTS B31')}"
22074,AFAM,172D,05,Discussion Section,Th 3.30-4.20 WTS B31,Th 3:30pm-4:20pm,WTS B31,Th 3:30pm-4:20pm in WTS B31,"{'Thursday': ('15:30', '16:20', 'WTS B31')}"
22076,AFAM,172D,06,Discussion Section,Th 4.00-4.50 LC 208,Th 4:00pm-4:50pm,LC 208,Th 4:00pm-4:50pm in LC 208,"{'Thursday': ('16:00', '16:50', 'LC 208')}"
22078,AFAM,172D,07,Discussion Section,Th 4.30-5.20 LC 210,Th 4:30pm-5:20pm,LC 210,Th 4:30pm-5:20pm in LC 210,"{'Thursday': ('16:30', '17:20', 'LC 210')}"
22080,AFAM,172D,08,Discussion Section,Th 7.00-7.50p LC 208,Th 7:00pm-7:50pm,LC 208,Th 7:00pm-7:50pm in LC 208,"{'Thursday': ('19:00', '19:50', 'LC 208')}"
22087,AFAM,172D,09,Discussion Section,Th 5.00-5.50 LC 208,Th 5:00pm-5:50pm,LC 208,Th 5:00pm-5:50pm in LC 208,"{'Thursday': ('17:00', '17:50', 'LC 208')}"
22222,AFAM,184D,01,Discussion Section,Th 5.00-5.50 LORIA 358,Th 5:00pm-5:50pm,LORIA 358,Th 5:00pm-5:50pm in LORIA 358,"{'Thursday': ('17:00', '17:50', 'LORIA 358')}"
22225,AFAM,184D,02,Discussion Section,,,,,{}
22188,AFAM,186D,01,Writing Section,W 3.30-4.20 WTS A32,W 3:30pm-4:20pm,WTS A32,W 3:30pm-4:20pm in WTS A32,"{'Wednesday': ('15:30', '16:20', 'WTS A32')}"
22192,AFAM,186D,02,Writing Section,W 5.00-5.50 WTS A32,W 5:00pm-5:50pm,WTS A32,W 5:00pm-5:50pm in WTS A32,"{'Wednesday': ('17:00', '17:50', 'WTS A32')}"
