section_crn,subject,number,section,info,time,times_summary,locations_summary,times_long_summary,times_by_day
24934,AFAM,125D,01,Discussion Section,W 3.30-4.20 AKW 100,W 3:30pm-4:20pm,AKW 100,W 3:30pm-4:20pm in AKW 100,"{'Wednesday': ('15:30', '16:20', 'AKW 100')}"
24937,AFAM,125D,02,Discussion Section,W 5.00-5.50 WLH 007,W 5:00pm-5:50pm,WLH 007,W 5:00pm-5:50pm in WLH 007,"{'Wednesday': ('17:00', '17:50', 'WLH 007')}"
24928,AFAM,125D,03,Discussion Section,Th 10.30-11.20 WALL81 101,Th 10:30am-11:20am,WALL81 101,Th 10:30am-11:20am in WALL81 101,"{'Thursday': ('10:30', '11:20', 'WALL81 101')}"
24931,AFAM,125D,04,Discussion Section,Th 1.30-2.20 WALL81 101,Th 1:30pm-2:20pm,WALL81 101,Th 1:30pm-2:20pm in WALL81 101,"{'Thursday': ('13:30', '14:20', 'WALL81 101')}"
25510,AFAM,172D,01,Discussion Section,W 2.30-3.20 YK220 002,W 2:30pm-3:20pm,YK220 002,W 2:30pm-3:20pm in YK220 002,"{'Wednesday': ('14:30', '15:20', 'YK220 002')}"
25512,AFAM,172D,02,Discussion Section,W 3.30-4.20 YK220 002,W 3:30pm-4:20pm,YK220 002,W 3:30pm-4:20pm in YK220 002,"{'Wednesday': ('15:30', '16:20', 'YK220 002')}"
25514,AFAM,172D,03,Discussion Section,Th 1.30-2.20 YK220 002,Th 1:30pm-2:20pm,YK220 002,Th 1:30pm-2:20pm in YK220 002,"{'Thursday': ('13:30', '14:20', 'YK220 002')}"
25516,AFAM,172D,04,Discussion Section,Th 2.30-3.20 YK220 002,Th 2:30pm-3:20pm,YK220 002,Th 2:30pm-3:20pm in YK220 002,"{'Thursday': ('14:30', '15:20', 'YK220 002')}"
25518,AFAM,172D,05,Discussion Section,Th 3.30-4.20 WLH 204,Th 3:30pm-4:20pm,WLH 204,Th 3:30pm-4:20pm in WLH 204,"{'Thursday': ('15:30', '16:20', 'WLH 204')}"
25520,AFAM,172D,06,Discussion Section,Th 8.00-8.50p WLH 112,Th 8:00pm-8:50pm,WLH 112,Th 8:00pm-8:50pm in WLH 112,"{'Thursday': ('20:00', '20:50', 'WLH 112')}"
25522,AFAM,172D,07,Discussion Section,Th 4.30-5.20 WALL81 301,Th 4:30pm-5:20pm,WALL81 301,Th 4:30pm-5:20pm in WALL81 301,"{'Thursday': ('16:30', '17:20', 'WALL81 301')}"
25524,AFAM,172D,08,Discussion Section,Th 7.00-7.50p WLH 209,Th 7:00pm-7:50pm,WLH 209,Th 7:00pm-7:50pm in WLH 209,"{'Thursday': ('19:00', '19:50', 'WLH 209')}"
25526,AFAM,172D,09,Discussion Section,F 10.30-11.20 WLH 002,F 10:30am-11:20am,WLH 002,F 10:30am-11:20am in WLH 002,"{'Friday': ('10:30', '11:20', 'WLH 002')}"
25528,AFAM,172D,10,Discussion Section,F 11.35-12.25 WLH 011,F 11:35am-12:25am,WLH 011,F 11:35am-12:25am in WLH 011,"{'Friday': ('11:35', '12:25', 'WLH 011')}"
24856,AFAM,185D,01,Discussion Section,F 10.30-11.20 WALL81 101,F 10:30am-11:20am,WALL81 101,F 10:30am-11:20am in WALL81 101,"{'Friday': ('10:30', '11:20', 'WALL81 101')}"
24858,AFAM,185D,02,Discussion Section,,,,,{}
24860,AFAM,185D,03,Discussion Section,F 1.30-2.20 WALL81 301,F 1:30pm-2:20pm,WALL81 301,F 1:30pm-2:20pm in WALL81 301,"{'Friday': ('13:30', '14:20', 'WALL81 301')}"
24862,AFAM,185D,04,Discussion Section,,,,,{}
25419,AFAM,186D,01,Discussion Section,W 7.00-7.50p WLH 003,W 7:00pm-7:50pm,WLH 003,W 7:00pm-7:50pm in WLH 003,"{'Wednesday': ('19:00', '19:50', 'WLH 003')}"
25423,AFAM,186D,02,Discussion Section,,,,,{}
24987,AFAM,198D,01,Discussion Section,M 1.30-2.20 WLH 013,M 1:30pm-2:20pm,WLH 013,M 1:30pm-2:20pm in WLH 013,"{'Monday': ('13:30', '14:20', 'WLH 013')}"
24991,AFAM,198D,02,Discussion Section,M 2.30-3.20 WLH 013,M 2:30pm-3:20pm,WLH 013,M 2:30pm-3:20pm in WLH 013,"{'Monday': ('14:30', '15:20', 'WLH 013')}"
24995,AFAM,198D,03,Discussion Section,,,,,{}
24999,AFAM,198D,04,Discussion Section,,,,,{}
25685,AFAM,198D,05,Discussion Section,T 7.00-7.50p LC 205,T 7:00pm-7:50pm,LC 205,T 7:00pm-7:50pm in LC 205,"{'Tuesday': ('19:00', '19:50', 'LC 205')}"
25689,AFAM,198D,06,Discussion Section,T 3.30-4.20 AKW 100,T 3:30pm-4:20pm,AKW 100,T 3:30pm-4:20pm in AKW 100,"{'Tuesday': ('15:30', '16:20', 'AKW 100')}"
